Richmond			,	KY	,		31809		,	SE	,	40475
Irvington			,	KY	,		1192		,	SE	,	40146
NEW YORK 			,	NY	,		8244910		,	NE	,	10011
LITTLE ROCK			,	AR	,		193524		,	SE	,	72201
OKLAHOMA CITY		,	OK	,		596742		,	SW	,	73101
CHICAGO				,	IL	,		2707120		,	MW	,	60602
Hanover				,	PA	,		15348		,	NE	,	17331
Oxford				,	NC	,		8469		,	SE	,	27565
COLUMBIA			,	TN	,		34915		,	SW	,	38401
Rome				,	GA	,		36181		,	SE	,	30161
Atlanta				,	GA	,		432427		,	SE	,	30301
DENVER				,	CO	,		619968		,	SW	,	80204
LOS ANGELES			,	CA	,		3819702		,	SW	,	90012
LAS VEGAS			,	NV	,		589317		,	SW	,	89101
Brooks				,	KY	,		2678		,	SE	,	40109
Midway				,	KY	,		1620		,	SE	,	40347
ROCHESTER			,	NY	,		210855		,	NE	,	14623
Chesapeake			,	VA	,		225050		,	SE	,	23322
Glendale			,	AZ	,		230482		,	SE	,	85301
Stockton			,	CA	,		296357		,	NW	,	95202
TULSA				,	OK	,		396466		,	SE	,	74103
MINNEAPOLIS			,	MN	,		387753		,	MW	,	55415
BOISE				,	ID	,		210145		,	NW	,	83702
ROCKForD			,	IL	,		152222		,	MW	,	61104
WICHITA				,	KS	,		384445		,	SE	,	67202
TOPEKA				,	KS	,		128188		,	SE	,	66603
COLUMBIA			,	SC	,		130591		,	SE	,	29201
Hanover				,	MD	,		12780		,	NE	,	21076
VIRGINIA BEACH		,	VA	,		442707		,	SE	,	23456
AURORA				,	IL	,		180569		,	MW	,	60502
SAINT pAUL			,	MN	,		288448		,	MW	,	55102
NEW ORLEANS			,	LA	,		369250		,	SE	,	70112
SAN ANTONIO			,	TX	,		1327407		,	SW	,	78023
Waterbury			,	CT	,		110366		,	NE	,	06701
Lakewood			,	CA	,		80634		,	SW	,	90712
Sunnyvale			,	CA	,		142287		,	SW	,	94086
Bellevue			,	WA	,		124798		,	NW	,	98004
Newark				, 	NJ	,		277140		,	NE	,	07101	
Worcester			,	MA	,		181045		,	NE	,	01601
TOLEDO				,	OH	,		286038		,	MW	,	43604
CHULA VISTA			,	CA	,		247535		,	NW	,	91910
Hartford			,	CT	,		124775		,	NE	,	06110
Lowell				,	MA	,		106519		,	NE	,	01850
Springfield			,	MA	,		153060		,	NE	,	01101
Pittsburgh			,	PA	,		307484		,	NE	,	15106
Allentown			,	PA	,		118032		,	NE	,	18101
Bridgeport			,	CT	,		145638		,	NE	,	06601
Philadelphia		,	PA	,		1526006		,	NE	,	19100
New Haven			,	CT	,		129779		,	NE	,	06501
Stamford			,	CT	,		122643		,	NE	,	06912
FLINT				,	MI	,		101558		,	MW	,	48502
