Model,MSO2024B
Firmware Version,1.56

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,130200
Sample Interval,260.4
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
0.0000e+00,-46.0219
2.6040e+02,-44.1281
5.2080e+02,-42.2344
7.8120e+02,-47.5906
1.0416e+03,-52.9438
1.3020e+03,-55.0187
1.5624e+03,-57.0938
1.8228e+03,-54.3125
2.0832e+03,-51.5312
2.3436e+03,-52.8062
2.6040e+03,-54.0812
2.8644e+03,-52.5781
3.1248e+03,-51.0719
3.3852e+03,-52.0094
3.6456e+03,-52.9438
3.9060e+03,-52.9438
4.1664e+03,-52.9438
4.4268e+03,-52.9438
4.6872e+03,-52.9438
4.9476e+03,-52.9438
5.2080e+03,-52.9438
5.4684e+03,-53.5125
5.7288e+03,-54.0812
5.9892e+03,-53.5125
6.2496e+03,-52.9438
6.5100e+03,-50.5031
6.7704e+03,-48.0625
7.0308e+03,-47.0094
7.2912e+03,-45.9531
7.5516e+03,-40.1875
7.8120e+03,-34.4219
8.0724e+03,-32.625
8.3328e+03,-30.8281
8.5932e+03,-22.775
8.8536e+03,-14.7188
9.1140e+03,-16.5469
9.3744e+03,-18.375
9.6348e+03,-11.0656
9.8952e+03,-3.75312
1.0156e+04,-4.69062
1.0416e+04,-5.625
1.0676e+04,-9.7375
1.0937e+04,-13.8469
1.1197e+04,-16.4844
1.1458e+04,-19.1219
1.1718e+04,-25.4562
1.1978e+04,-31.7906
1.2239e+04,-35.0031
1.2499e+04,-38.2156
1.2760e+04,-49.6437
1.3020e+04,-61.0719
1.3280e+04,-58.0625
1.3541e+04,-55.0531
1.3801e+04,-55.0531
1.4062e+04,-55.0531
1.4322e+04,-56.075
1.4582e+04,-57.0938
1.4843e+04,-56.075
1.5103e+04,-55.0531
1.5364e+04,-54
1.5624e+04,-52.9438
1.5884e+04,-53.5125
1.6145e+04,-54.0812
1.6405e+04,-55.5875
1.6666e+04,-57.0938
1.6926e+04,-56.075
1.7186e+04,-55.0531
1.7447e+04,-55.0531
1.7707e+04,-55.0531
1.7968e+04,-58.0625
1.8228e+04,-61.0719
1.8488e+04,-58.0625
1.8749e+04,-55.0531
1.9009e+04,-54
